Product, ProductType, MinPrice, MaxPrice
Chilly Capsicum,Chilly Capsicum,1600,2000
Cowpea(Veg),Cowpea (Veg),4,6000
Banana - Green,Banana - Green,600,5000
Cowpea (Lobia/Karamani),Cowpea (Whole),2611,7000
Beans,Beans (Whole),1500,4800
Beans,Local,2000,2000
Lak(Teora),Lak (Whole),1686,1757
Tapioca,Tapioca,1200,2500
Amphophalus,Amphophalus,1600,4200
Ginger(Green),Green Ginger,1000,8700
Corriander seed,Coriander Seed,3000,10500
Kulthi(Horse Gram),Horse gram (Whole),2500,4425
Castor Seed,Castor seed,1950,3825
Castor Seed,Caster,3400,3700
Honge seed,Honge Seed,1000,1200
Copra,Copra,12500,16500
Dry Chillies,Byadgi,9100,13300
Dry Chillies,Local,1899,11721
Dry Chillies,Guntur,9300,9600
Dry Chillies,1st Sort,7000,9000
Dry Chillies,2nd Sort,3000,6000
Soanf,Soanf,5120,5800
Coconut,Coconut,500,20000
Coconut,Big,2200,2400
Coconut,Medium,1100,13000
Coconut,Grade-I,18000,33000
Coconut,Grade- II,15000,24000
Coconut,Grade-III,12000,13440
Coconut,Imported,10000,10000
Sweet Potato,Sweet Potato,300,4100
Carrot,Carrot,400,4500
Cabbage,Cabbage,100,3000
Snakeguard,Snakeguard,1000,5000
Beetroot,Beetroot,200,4000
White Pumpkin,White Pumpkin,800,1200
Cucumbar(Kheera),Cucumbar,1,4000
Ridgeguard(Tori),Ridgeguard(Tori),400,5000
Raddish,Raddish,200,1500
Thondekai,Thondekai,500,1000
Capsicum,Capsicum,300,5100
Green Avare (W),Green Avare (W),3000,3500
Alsandikai,Alsandikai,2400,3200
Drumstick,Drumstick,2,5000
Chapparad Avare,Chapparada Avarekai,2400,2800
Leafy Vegetable,Leafy Vegetables,500,500
Mango (Raw-Ripe),Mango - Raw-Ripe,500,2500
Sweet Pumpkin,Sweet Pumpkin,500,1600
Peas Wet,Peas Wet,2500,8000
Seemebadnekai,Seemebadanekai,1600,2000
Knool Khol,Knool Khol,600,3200
Suvarna Gadde,Suvarnagadde,2400,2800
Lime,Lime,3650,6000
Jack Fruit,Jack Fruit,1000,1900
Guava,Guava,5,1667
Karbuja(Musk Melon),Karbhuja,300,2000
Pomegranate,Pomogranate,2500,9000
Tender Coconut,Tender Coconut,6000,16000
Suva (Dill Seed),Suva (Dill Seed),4225,4270
Moath Dal,Moath Dal,6600,6700
Masur Dal,Masur Dal,4000,5800
Arhar Dal(Tur Dal),Arhar Dal(Tur),3250,8000
Arhar Dal(Tur Dal),Ordinary (Split),5900,6500
Arhar Dal(Tur Dal),U.P. (Split),5250,5650
Beaten Rice,Beaten Rice,2800,3200
Bengal Gram Dal (Chana Dal),Bengal Gram Dal,4200,6100
Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),2876,3490
Bengal Gram Dal (Chana Dal),Bengal Gram (Split),2481,5605
Black Gram Dal (Urd Dal),Black Gram Dal,4500,9000
Green Gram Dal (Moong Dal),Green Gram Dal,5400,8000
Ground Nut Seed,Ground Nut Seed,6800,8000
Avare Dal,Avare (Whole),6200,6600
Alasande Gram,Alasande Gram,2635,5200
Chennangi Dal,Chennangi Dal,4400,5000
Elephant Yam (Suran),Elephant Yam (Suran),1200,1200
French Beans (Frasbean),French Beans (Frasbean),1600,3500
Pointed gourd (Parval),Pointed gourd (Parval),1350,3300
Round gourd,Round gourd,200,800
Lemon,Lemon,1500,8260
Sponge gourd,Sponge gourd,400,1850
Groundnut (Split),Groundnut(Split),3375,4105
Colacasia,Colacasia,1800,5300
Spinach,Spinach,400,1200
Peas(Dry),Peas(Dry),910,3650
Tinda,Tinda,500,4000
Amla(Nelli Kai),Amla,5,6
Onion Green,Onion Green,800,800
Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),2000,11500
Kabuli Chana(Chickpeas-White),White (whole),5800,9000
White Peas,White Peas,2450,3600
Guar Seed(Cluster Beans Seed),Whole,3290,3534
Guar Seed(Cluster Beans Seed),Split,3500,3550
